iter	Passed	Remaining
639	15297	8604
640	15321	8581
641	15348	8558
642	15373	8535
643	15395	8510
644	15415	8484
645	15452	8467
646	15489	8450
647	15505	8422
648	15526	8396
649	15545	8370
650	15569	8346
651	15620	8337
652	15640	8311
653	15688	8300
654	15710	8275
655	15731	8249
656	15751	8223
657	15770	8196
658	15793	8172
659	15821	8150
660	15868	8138
661	15896	8116
662	15923	8093
663	15968	8080
664	15993	8056
665	16016	8032
666	16043	8009
667	16067	7985
668	16085	7958
669	16103	7931
670	16128	7907
671	16154	7884
672	16206	7874
673	16231	7850
674	16253	7825
675	16276	7800
676	16300	7776
677	16321	7751
678	16340	7725
679	16358	7698
680	16383	7674
681	16404	7649
682	16423	7622
683	16439	7594
684	16478	7577
685	16499	7552
686	16516	7524
687	16539	7500
688	16557	7473
689	16576	7447
690	16594	7420
691	16626	7400
692	16658	7379
693	16679	7354
694	16694	7326
695	16712	7299
696	16729	7272
697	16751	7247
698	16773	7222
699	16807	7203
700	16828	7178
701	16844	7150
702	16864	7124
703	16892	7102
704	16919	7079
705	16936	7052
706	16953	7025
707	16970	6999
708	16985	6971
709	17003	6945
710	17019	6917
711	17064	6902
712	17081	6875
713	17100	6849
714	17155	6838
715	17167	6809
716	17183	6782
717	17201	6755
718	17221	6730
719	17238	6703
720	17273	6684
721	17290	6657
722	17307	6631
723	17323	6604
724	17338	6576
725	17354	6549
726	17372	6523
727	17387	6496
728	17404	6469
729	17420	6443
730	17438	6417
731	17452	6389
732	17475	6365
733	17495	6340
734	17510	6313
735	17525	6286
736	17539	6259
737	17557	6233
738	17574	6206
739	17588	6179
740	17603	6152
741	17616	6125
742	17632	6099
743	17651	6073
744	17670	6048
745	17689	6022
746	17734	6006
747	17751	5980
748	17768	5954
749	17786	5928
750	17804	5903
751	17822	5877
752	17838	5851
753	17859	5826
754	17878	5801
755	17895	5775
756	17910	5749
757	17926	5723
758	17953	5700
759	17984	5679
760	18004	5654
761	18021	5628
762	18039	5603
763	18059	5578
764	18074	5552
765	18091	5526
766	18111	5501
767	18127	5476
768	18150	5452
769	18167	5426
770	18185	5401
771	18231	5384
772	18259	5362
773	18282	5338
774	18304	5314
775	18333	5292
776	18358	5268
777	18384	5245
778	18405	5221
779	18430	5198
780	18464	5177
781	18484	5153
782	18503	5128
783	18522	5103
784	18541	5078
785	18567	5055
